referencia;numero;data_vigencia_inicial;data_vigencia_final;Cliente (Razão Social);cnpj_cpf_cliente;codigo_banco_conta;codigo_forma_pagamento;servicos.complemento;servicos.referencia;dia_vencimento;data_primeiro_vencimento;observacao_nao_fiscal;servicos.valor_unitario;servicos.quantidade;codigo_vendedor;situacao;recorrencia;tipo_faturamento;indice_reajuste
2020/00011;2020/00011;07/01/2013;24/04/2023;IBEMA CIA BRASILEIRA DE PAPEL;80.228.885/0005-43;3;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Reajuste anual indice INPC Email em 14/01/22 Tamires Foram enviados os adendos aos clientes IBEMA E CONDOMINIO  com antecedência de 1 mês, porém não tivemos retorno, conforme realizado no ano passado vamos fazer o reajuste e colocar na NF de fevereiro. FOI INFORMADO NO EMAIL QUE FAREMOS O REAJUSTE NA PRÓXIMA NF. Fevereiro de 2.194,50 para 2437,65 mudei vigencia p 1 ano;2627,81;1;1;1;1;0;0
2020/00009;2020/00009;01/04/2019;01/03/2022;IFF ESSÊNCIAS E FRAGÂNCIAS LTDA;33.043.951/0006-01;2;5;Licenciamento SaaS SIGMA PDCA Pagamento mediante deposito bancário Banco Itaú  Ag 6383 CC 14169-1 Pedido 5500014609;1;10;10/10/2024;nao reajustar 2021;1960;1;1;1;1;0;0
2021/00013;2021/00013;01/04/2019;31/03/2022;IFF ESSENCIAS E FRAGRANCIAS LTDA;33.043.951/0001-05;2;5;Serviços prestados Pagamento mediante deposito bancário Banco Itaú Ag 6383 CC 14169-1;1;10;10/10/2024;N/D;2000;1;1;1;1;0;0
2020/00080;2020/00080;13/09/2016;23/02/2025;INDEMIL INDUSTRIAL E COMERCIO S/A;61.887.899/0001-09;2;5;Contrato de Manutenção Pagamento mediante depósito bancário Banco Itaú Agência 6383 Cc 14169-1;1;10;10/10/2024;Pagamento dias 10 ou 20 do mês                                           Emitir NF 15 dias antes do vencimento ENVIAR DECLARAÇÃO SIMPLES  ADENDO OK;928,25;1;1;1;1;0;0
2024/00012;2024/00012;05/07/2024;05/07/2025;INDUSTRIA COMERCIO PRODUTOS DE LIMPEZA GIRANDO SOL LTDA;93.973.329/0001-10;2;5;Serviços prestados- SAAS- ADICIÇÃO DE 1 USUARIO;1;10;10/10/2024;N/D;300;1;1;1;1;0;0
2020/00042;2020/00042;01/09/2010;01/09/2024;INDUSTRIA MECANICA BRASPAR;62.430.194/0001-12;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Adendo enviado em 20/02/2021 valor nf já reajustado. Cobrar adendo assinado. Reajuste 24 meses indice IGPM * alterado vigencia de 01/09/2020 para 01/09/2022 email Tamires 10/09, cliente tem vigencia de 24 meses;1005,42;1;1;1;1;0;0
2020/00016;2020/00016;20/05/2011;01/03/2023;INTECNIAL S.A.;89.432.702/0001-58;3;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Reajustar valor FAZER E ENVIAR adendo cliente. *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo;1016;1;1;1;1;0;0
2020/00061;2020/00061;01/04/2021;01/04/2025;J C C ENGENHARIA LTDA;03.734.545/0001-10;2;5;Contrato de Manutenção Kit mensal VIP (12 meses);1;10;10/10/2024;Desconto de 50% de 04/2021 à 01/2022- em 02/01/2022 valor para 528,00 Reajuste anual indice IGPM * Em 19/01/2022 alterado para valor original conforme adendo R$ 528,00 antes R$ 264,00 * Em 26/01/22 - Tamires solicitou cancelamento da nota de R$ 528,00 que era oq estava em adendo, e continuar a cobrança até 04/2022 o valor de 264,00;649,81;1;1;1;1;0;0
2021/00029;2021/00029;11/05/2023;11/05/2025;J. CRUZ INDUSTRIA DE BEBIDAS LTDA.;04.398.251/0001-27;2;5;SIGMA - Modalidade SaaS (Software as a Service);1;10;10/10/2024;Vencimento ANUAL 06/ANO atraso = multa de 2% e juros moratórios legais ao mês.;4557,73;1;1;1;1;0;0
2022/00004;2022/00004;13/10/2022;13/10/2026;JODUAR COMERCIAL DE AR CONDICIONADO LTDA;09.513.386/0001-00;3;5;Serviços CONTRATO SAAS  depósito bancário banco bradesco ag- 3152 c/c 18739-9;1;10;10/10/2024;N/D;4500;1;1;1;1;0;0
2021/00001;2021/00001;02/10/2020;01/04/2022;LALLEMAND SOLUCOES AGROBIOLOGICAS LTDA.;07.983.734/0001-87;2;5;Contrato de Manutenção;1;10;10/10/2024;Incluir no primeiro pagamento a informação referente a ordem de compra: 8486-00 REAJUSTE EM 12 MESES ÍNDICE IGPM - 02/10/2021 * Email Tamires 10/09/2021 - Abrahão pediu para não fazer reajuste agora vamos esperar 2 meses, mudei vigencia de 01/10/2021 para 01/01/2022 *em 190122 Tamires ainda não havia confirmado novo adendo, continua faturar a 800., coloquei vigencia p 0422 p cobrar novamente;800;1;1;1;1;0;0
2020/00088;2020/00088;23/06/2021;23/06/2025;LALLEMAND SOLUÇÕES BIOLÓGICAS LTDA;27.268.763/0001-74;2;5;Contrato de Manutenção - SaaS;1;10;10/10/2024;Reajuste 24 meses indice IPCA RENOVAÇÃO SOMENTE POR MEIO DE ADITIVO CONTRATUAL Ajuste a cada 12 meses 2.8 indice IPCA Contrato valido até 23/06/2024 recebido em 06/01/2022 adendo assinado com data de 30/11/2021 - 919,00  novo valor - cobrar diferença desde 11/21 a 01/22? segundo Tamires por skype, não cobrar diferença e faturar novo valor a partir de 02/2022;2123,98;1;1;1;1;0;0
2020/00092;2020/00092;04/09/2022;04/09/2023;LATICÍNIOS CATUPIRY LTDA;61.087.367/0001-89;3;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;ENVIADO ADENDO DIA 28/06- AGUARDAR CLIENTE ASSINAR ELE JÁ ESTÁ PAGANDO O VALOR DO REAJUSTE. Reajuste 24 meses indice IGPM cliente mudou contrato pra SAAS, geramos contrato novo pela MANUT, cancelando aqui, distrato recebido em 30/09/2021 em anexo.;4880,04;1;1;1;1;0;0
2022/00003;2022/00003;13/09/2022;13/09/2023;LATICÍNIOS CATUPIRY LTDA;61.087.367/0001-89;3;5;Serviços prestados CONTRATO SAAS ANUAL;1;10;10/10/2024;N/D;4880,04;1;1;1;1;0;0
2020/00085;2020/00085;01/05/2020;01/05/2025;LATICINIOS SAO JOAO S/A;78.269.545/0015-90;2;5;Contrato de Manutenção - Kit básico;1;10;10/10/2024;Reajuste anual indice IGPM enviado adendo dia 28/06- calculado por Tamires e Marg. *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo;425,99;1;1;1;1;0;0
2024/00015;2024/00015;06/08/2024;06/08/2025;LPATSA ALIMENTACAO E TERCEIRIZACAO DE SERVICOS ADMINISTRATIV;13.530.225/0001-00;2;5;Serviços prestados-contrato SAAS 1 usuario;1;10;10/10/2024;N/D;1200;1;1;1;1;0;0
2021/00023;2021/00023;29/04/2021;29/04/2023;LUMIGER ASSISTENCIA TECNICA DE GRUPOS GERADORES LTDA.;17.667.889/0001-68;2;5;Serviços prestados - 01 (um) usuário saas;1;10;10/10/2024;N/D;1958;1;1;1;1;0;0
2020/00090;2020/00090;23/07/2020;05/08/2025;M SERVICE LTDA.;02.948.998/0001-86;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;VENCIMENTO DIA 05 DO PRÓXIMO MÊS.  Reajustar em 07/2022 indice IGPM anual  Adendo recebido via email 05/08;1601,36;1;1;1;1;0;0
2020/00083;2020/00083;21/09/2009;04/10/2024;MARFRIG GLOBAL FOODS S.A.;03.853.896/0039-12;2;5;Contrato de Manutenção - Kit Mensal Vip pedido de compra 43009037;1;10;10/10/2024;Reajustar em 07/2021 indice IGPM em19/10/2021 recebemos o adendo assinado, passando para 10.200,00 o contrato, ajustei em 20/10 o reajuste deles, adendo em anexo. recebi email em 08/11 pedindo para cancelar a nota 1518 de 10.200,00 e mudar para 7.140,00 o reajuste, enviado pela Tamires, em anexo novo adendo.;7947,03;1;1;1;1;0;0
2020/00022;2020/00022;17/07/2009;24/03/2025;MCFIL INDUSTRIA E COMERCIO DE FELTROS LTDA;92.660.240/0001-30;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Reajuste anual indice IGPM;945,32;1;1;1;1;0;0
2020/00043;2020/00043;14/09/2016;12/09/2025;METALKRAFT S/A SISTEMAS AUTOMOTIVOS;77.529.584/0001-11;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Reajustado em 09/2020 Reajuste 24 meses indice IGPM * alterado vigencia de 12/09/2020 para 16/09/2022 email Tamires 10/09, cliente tem vigencia de 24 meses;892;1;1;1;1;0;0
2020/00004;2020/00004;11/10/2016;30/04/2022;METALPO IND E COM LTDA;61.032.645/0001-09;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;ENVIADO CONTRATO PARA ASSINATURA 05/07 DATAS ERRADAS *REAJUSTADO PELO INDICE IPCA ABRAHÃO AUTORIZOU (Tamires) ** Mari - alterado no OMIE reajuste conforme email Tamires em 12/08/2021  - Adendo não assinado.;814,71;1;1;1;1;0;0
2020/00054;2020/00054;16/08/2011;01/09/2023;MINERAÇÃO JUNDU LTDA;60.628.468/0001-57;3;5;Contrato de Manutenção e suporte técnico SIGMA;1;10;10/10/2024;Este cliente tem o vencimento das Nfe sempre 3  semana do mês subsequente a emissão da nota fiscal Valor reajustado em 09/2020. Cobrar adendo assinado.  Reajuste anual indice IGPM REAJUSTE 01/09 SEM ADENDO ASSINADO - EAMIL;2253,06;1;1;1;1;0;0
2020/00066;2020/00066;01/01/2019;10/08/2022;MISSIATO INDUSTRIA E COMERCIO LTDA;56.925.019/0001-01;2;5;Kit básico com suporte remoto de 5 horas mensais Sistema Sigma;1;10;10/10/2024;*Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo 02/09/2021 clinete enviou email pedindo cancelamento Distrato em em anexo data 03/09/2021 ultima cobrança nota em setembro2021 -OK;530,78;1;1;1;1;0;0
2021/00035;2021/00035;01/06/2021;02/06/2022;MOXBA METALURGICA DO BRASIL LTDA.;13.009.445/0001-84;2;5;N/D;1;10;10/10/2024;CLIENTE NÃO FOI FATURADO 06/2021, 07/2021 E 082021  - RHANNA VAI CONFIRMAR PARA FATURAR - NÃO RECEBI TICKET PARA FATURAR ACERTADO COM CLIENTE PAGAMENTO DOS MESES EM ATRASO EM SETEMBRO RELAÇÃO DE NOTAS 062021 E 072021 NFSe 975 MES 082021 NFSe 964 . Cliente só recebe notas até 25/mes, vencimentos somente em 05/15/25 Em 07/10 editei nota, Tania passou que cliente so faz deposito, não recebe nota.;954;1;1;1;1;0;0
2020/00077;2020/00077;19/12/2014;18/12/2022;MOINHOS 05- Rio de Janeiro;88.301.155/0020-71;2;5;Serviço Mensal Contrato de PCM Sigma Requisitante: Laerte Silva;1;10;10/10/2024;ENVIADO EMAIL 05/07 SOLICITANDO ADENDO CONTRATUAL ASSINADO PEDIDO DE CANCELAMENTO EM 06/10/2021 EMAIL ADM. Faturado ainda 04/10 como multa;637,99;1;1;1;1;0;0
2020/00012;2020/00012;01/05/2012;30/09/2022;MOINHOS 14- São Luís;88.301.155/0023-14;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;ENVIADO EMAIL 05/07 SOLICITANDO ADENDO. Pedido de distrato dia 11/11/2021 faturar mais 1 mes assim q recebido o distrato. CONFORME TAMIRES Skipe 25/11 não cobrar mais 1 mes;637,99;1;1;1;1;0;0
2020/00003;2020/00003;01/05/2012;30/04/2022;MOINHOS 15- Canoas;88.301.155/0001-09;2;5;Serviço Mensal de PCM Sigma;1;10;10/10/2024;Enviar planilha preenchida ao ciente. Pagamento  nas quartas -feiras  ( 3 semana do mês);637;1;1;1;1;0;0
2020/00014;2020/00014;10/08/2012;09/09/2023;MOINHOS CRUZEIRO DO SUL S A;88.301.155/0021-52;3;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Reajuste 24 meses indice IGPM   Inserir nos dados adicionais o vencimento 15 dias após emissão porém o vencimento tem que ser na quarta-feira. Solicitar ordem de compra ao cliente.;707,04;1;1;1;1;0;0
2020/00013;2020/00013;15/04/2013;15/09/2021;MOINHOS CRUZEIRO DO SUL S A;88.301.155/0022-33;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;ENVIADO EMAIL DE ADENDO 05/07. Combinado com Tamires em 10/09/2021 via Skype que reajuste deste cliente fica para 10/2021,faturar novo valo, cliente não aceitou reajuste  12 meses colocou que são 24 meses conforme contrato em 14/09/2021 - vai pedir cancelamento. Distrato recebido em 14/09/2021 cobrança de mais 1 mes até 14/10/2021;637,99;1;1;1;1;0;0
2020/00096;2020/00096;21/03/2014;13/03/2025;MPE ENGENHARIA E SERVICOS S/A;04.743.858/0004-40;2;5;Serviço Mensal  de 08 (oito) Usuarios Saas;1;10;10/10/2024;OC.1233 Reajuste 24 meses indice IGPM - 07/2022 solicitado contrato saas assinado 02/07/2021 **alterei data de vigencia 30/07/2021 para 31/12/2021 - Omie não estava faturando - Mari *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo;1698,8;1;1;1;1;0;0
2021/00024;2021/00024;20/04/2021;19/04/2022;NATURAFRIG ALIMENTOS LTDA;18.626.084/0004-81;2;5;Serviços prestados - 04 usuários Saas;1;10;10/10/2024;Reajuste anual - indice IPCA PEDIDO SUSPENSÃO 22/10/2021 - cobrar mais um mês. Dr. ALINE:  Sugiro não cobrar a multa conforme a cláusula 8.2. Temos um problema neste contrato, pois a cláusula 8.2 dispensa a multa com aviso de 30 dias e a cláusula 8.2.1 autoriza a multa. Por essa divergência do próprio contrato sugiro não fazer a cobrança da penalidade, porém pode ser cobrado o aviso prévio de 30 dias.;2290;1;1;1;1;0;0
2020/00027;2020/00027;10/11/2014;27/10/2022;NORTENE PLASTICOS LTDA;46.188.199/0001-24;3;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Reajuste anual indice IPCA REAJUSTE SEM ADENDO 01/09/2021 CONF. EMAIL - AGUARADA ADENDO Cliente reclamou do valor por email, nota emitida 1.594,81 dia 03/09 foi novamente reajustado para R$ 1.275,08, FALTA ADENDO ASSINADO. Nota 917 foi cancelada em 14/09 pois foi negociado o reajuste com cliente, nova nota -;1275,08;1;1;1;1;0;0
2021/00003;2021/00003;01/03/2021;25/04/2022;OCRIM S A PRODUTOS ALIMENTICIOS;61.065.199/0006-35;2;5;Serviços prestados RENOVARÁ O CONTRATO;1;10;10/10/2024;Reajuste anual indice IGPM;940;1;1;1;1;0;0
2021/00004;2021/00004;01/03/2021;25/04/2022;OCRIM S A PRODUTOS ALIMENTICIOS;61.065.199/0002-01;2;5;Serviços prestados RENOVARÁ O CONTRATO;1;10;10/10/2024;Reajuste anual indice IGPM;940;1;1;1;1;0;0
2021/00005;2021/00005;01/03/2021;25/04/2022;OCRIM S A PRODUTOS ALIMENTICIOS;61.065.199/0004-73;2;5;Serviços prestados RENOVARÁ O CONTRATO;1;10;10/10/2024;Reajuste anual indice IGPM;940;1;1;1;1;0;0
2020/00045;2020/00045;30/09/2021;30/09/2023;PANDROL INDUSTRIA E SOLUCOES FERROVIARIAS LTDA;60.775.293/0001-00;3;5;Contrato de Manutenção - Kit Mensal Vip;1;10;10/10/2024;Emitir NF em ABRIL valor contrato 551,85 - aguardando assinatura contrato enviado em 02/03/2021.  Reajuste anual indice IGPM Alterei para 31/12/2021 não farturava - Mari *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo EM 30/09 Tamires teve reunião com cliente, e ficou definido que o valor seria 551,85 nota 985 não consegui cancelar, solicitei p email para Tania conceder desconto de 128,67 no boleto.;599,25;1;1;1;1;0;0
2020/00028;2020/00028;07/10/2014;07/09/2023;PARAIPABA AGROINDUSTRIAL;05.492.380/0001-42;3;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Valor ajustado em 09/2020. Adendo enviado em 21/01/2021. Reajuste anual indice IGPM REAJUSTE SEM ADENDO 01/09/2021 CONF. EMAIL - AGUARADA ADENDO;464,75;1;1;1;1;0;0
2021/00022;2021/00022;26/06/2023;26/06/2025;PASTIFICIO SELMI SA;46.025.722/0001-00;2;5;***4 DEPARTAMENTOS*** Correção de bug¿s e erros Suporte técnico Treinamento Web dos operadores Consultoria Tecnica  SERVICO DE ASSISTENCIA TECNICA E MANUTENCAO EM PCM - 305500 LICENCIAMENTO SIGMA PDCA / MULTIEMPRESA - 305499;1;10;10/10/2024;Reajuste anual - indice IPCA valor reajustado em negociação  pois o cliente tem contrato por 2 anos 11/07 lilian;2546,32;1;1;1;1;0;0
2023/00002;2023/00002;08/08/2023;08/08/2025;PASTIFICIO SELMI SA;46.025.722/0001-00;2;5;Serviços prestados pd: 363450;1;10;10/10/2024;alterar o valor conforme adendo;850,1;1;1;1;1;0;0
2020/00095;2020/00095;03/10/2019;02/10/2024;PGL DISTRIBUIÇÃO DE ALIMENTOS LTDA;87.397.865/0002-00;2;5;Contrato  de Manutenção Plano Básico (12meses);1;10;10/10/2024;Enviado adendo email solicitando adendo 02/07. *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo;922,92;1;1;1;1;0;0
2020/00064;2020/00064;01/09/2020;03/09/2024;PHARLAB INDUSTRIA FARMACEUTICA S.A;02.501.297/0001-02;2;5;Contrato de Manutenção - Kit básico 12 Meses;1;10;10/10/2024;Reajuste anual indice IGPM REAJUSTE 01/09 SEM ADENDO ASSINADO - EAMIL Bom dia, solicito que altere o valor do contrato da pharlab R$ 504,81, conversamos hoje dia 03/09 com o cliente e ficou acordado esse valor. A NF já emitida deve ser cancelada e emitida com o valor correto.;588;1;1;1;1;0;0
2021/00036;2021/00036;09/08/2021;09/08/2023;FABRICA DE COLA POLESELLO LTDA;03.311.786/0001-56;2;5;CONTRATO - Anuidade do Contrato SaaS, 01 usuário  gestor. PAGAMENTO EM 2 PARCELAS Vencimento da primeira parcela: 08/09/2021 Vencimento da segunda parcela: 09/09/2021;1;10;10/10/2024;PGTO ANUAL 2X BOLETO;4317;1;1;1;12;0;0
2022/00005;2022/00005;14/10/2022;14/10/2026;FABRICA DE COLA POLESELLO LTDA;03.311.786/0001-56;2;5;Serviços prestados CONTRATO SAAS 1 USUÁRIO;1;10;10/10/2024;N/D;4928,56;1;1;1;1;0;0
2024/00002;2024/00002;12/01/2024;12/01/2025;FABRICA DE COLA POLESELLO LTDA;03.311.786/0001-56;2;5;ativação de segurança- sigma security;1;10;10/10/2024;N/D;2304;1;1;1;1;0;0
2020/00076;2020/00076;23/02/2018;23/09/2024;POLI ENGENHARIA LTDA;00.700.518/0001-38;2;5;Licenciamento SaaS SIGMA PDCA;1;10;10/10/2024;O pedido de compra deve constar na NF 7968 valor nf reajustado em 23/09/2020, adendo recebido. Fazer novo reajuste em Set/2021 - ok reajustado 17/08/2021 adendo anexo;1214,87;1;1;1;1;0;0
2020/00048;2020/00048;19/08/2019;05/09/2024;POLPA BRASIL DESIDRATADOS LTDA.;03.097.354/0001-94;2;5;Contrato de Manutenção Plano Master 02 usuários Saas;1;10;10/10/2024;N/D;1136,2;1;1;1;1;0;0
2024/00003;2024/00003;05/02/2024;05/02/2025;POLPA BRASIL DESIDRATADOS LTDA.;03.097.354/0001-94;2;5;ativação de segurança- sigma security valido de 05/02/2024 a 05/02/2025;1;10;10/10/2024;N/D;2304;1;1;1;1;0;0
2021/00017;2021/00017;02/03/2021;02/03/2025;PRIMATO COOPERATIVA AGROINDUSTRIAL;02.168.202/0005-04;2;5;Serviços prestados;1;10;10/10/2024;Reajuste anual indice IGPM;988,82;1;1;1;1;0;0
2024/00009;2024/00009;16/04/2024;16/04/2025;HUMAITA INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;27.947.986/0002-49;2;5;Serviços prestados- sigma saas 1 usuario mensal;1;10;10/10/2024;N/D;1260;1;1;1;1;0;0
2020/00041;2020/00041;23/05/2016;16/09/2022;PUREM AUTOMOTIVE TECHNOLOGY SOROCABA LTDA;11.756.712/0001-51;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;alterado vigencia de 16/09/2020 para 16/09/2022 email Tamires 10/09, cliente tem vigencia de 24 meses;753,66;1;1;1;1;0;0
2022/00002;2022/00002;29/07/2022;29/07/2025;PUREM AUTOMOTIVE TECHNOLOGY SOROCABA LTDA;11.756.712/0001-51;2;5;Serviços Contrato de manutenção 12 meses (10 horas mensais) = total no ano 120 horas ORDEM DE COMPRA: 53.090;1;10;10/10/2024;Contrato de manutenção 12 meses (10 horas mensais) = total no ano 120 horas Correção de bug¿s e erros Suporte técnico Treinamento Web dos operadores Consultoria Tecnica Atualização de Versão;1785;1;1;1;1;0;0
2021/00009;2021/00009;08/12/2021;08/12/2022;RECKITT BENCKISER ( BRASIL ) LTDA.;59.557.124/0001-15;2;5;Renovação contrato - Software Sigma Nº DO PEDIDO 21007483OW - Wilasson Felipe Nº da requisição de compra: PR635109 Condição de PGTO = Deposito  Vencimento: 08/12/2021 Depósito ITAU  AG 6383  C/C 14169-1 PIX CNPJ 24940650000185;1;10;10/10/2024;REAJUSTAR VALOR 2021 - FAZER E ENVIAR ADENDO valor Omie estava incorreto, ajustado em 09/09 após auditoria Tamires. Adendo 2020 anexo, 08/12/2020.  email Aime para faturar em 25/11/2021 e vencimento 08/12/2021. Contrato esta em nome de Microcenter Tamires passou q Abrahao autorizou e assim deixaram. FATURAR PELA MICROCENTER ANUAL;27134,41;1;1;1;1;0;0
2020/00081;2020/00081;01/01/2020;31/12/2021;REMO INDÚSTRIA E COMÉRCIO DE PLÁSTICOS LTDA;61.892.030/0001-44;2;5;Contrato de Manutenção - Kit básico;1;10;10/10/2024;OD 23982;250;1;1;1;1;0;0
2020/00002;2020/00002;10/10/2016;31/01/2025;ROCHA TERMINAIS PORTUÁRIOS E LOGISTICA S.A;81.716.144/0001-40;2;5;Contrato de Manutenção Plano Master Pagamento mediante deposito bancário  Banco Itau  Ag 6383 C/c 14169-1;1;10;10/10/2024;Adendo em 06/01/2022 Tamires - novo valor a partir de 01/02/2021 a 31/01/2023 = 1.012,46 mudar forma de cobrança - faturar dia 01 mes e vencimento 26/mes;1150,77;1;1;1;1;0;0
2020/00093;2020/00093;06/09/2016;06/11/2022;ROLDÃO AUTO SERVIÇO COMÉRCIO DE ALIMENTOS LTDA;05.800.256/0006-01;3;5;Sistema SIGMA PDCA SAAS;1;10;10/10/2024;enviado adendo 02/07 aguardando retorno. **alterei data de vigencia 06/09/2021 para 31/12/2021 - Omie não estava faturando - Mari REAJUSTE 01/09/2021 SEM ADENDO ASSINADO CONFORME EMAIL;1813,02;1;1;1;1;0;0
2020/00020;2020/00020;08/02/2021;28/02/2025;SECONCI - HRC (21);61.687.356/0021-83;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;ENVIAR DECLARAÇÃO COM A DATA DA EMISSÃO DA NF  Não será reajustado em 2021, autorizado isenção. adendo não recebido;608,8;1;1;1;1;0;0
2021/00008;2021/00008;23/08/2021;23/08/2022;SEGURPRO VIGILANCIA PATRIMONIAL S.A.;25.278.459/0001-82;2;5;SISTEMA SIGMA ENTERPRISE SAAS  CONTRATO ANUAL FIXO = R$ 15.219,82 3 USUARIOS GESTORES = R$ 5.760,00 CONTRATO VIGENCIA 23/08/2021 a 23/08/2022 ORDEM DE COMPRA 280173 - LADEIRA, RENAN LELIS;1;10;10/10/2024;REAJUSTAR VALOR 08/2021- FAZER E ENVIAR ADENDO PAGAMENTO 90 DIAS APOS EMISSÃO DE NF  SEGURPRO- VALOR PASSARÁ A SER R$20.979,82 ( CONFORME FALADO COM ANGÉLICA e RENAN, ELES IRÃO CONTINUAR CONOSCO. ADENDO FOI ENVIADO E ESTÁ EM ANÁLISE NO SETOR ADMINISTRATIVO DELES, ESTOU AGUARDANDO ASSINATURA). adendo recebido em 16/09/2021 Cancelada nota 1017, pois não ocnstava ordem de compra. Enviar sempre ordem de compra e vencimentos 10/25/30 emissão sempre antes de 25/mes;20979,82;1;1;1;1;0;0
2021/00007;2021/00007;01/04/2021;30/04/2022;SERVICO MUNICIPAL DE AGUA, SANEAMENTO BASICO E INFRA-ESTRUTU;05.472.936/0001-39;2;5;Serviços prestados;1;10;10/10/2024;NF ANUAL - REAJUSTAR 04/2021;10297,53;1;1;1;1;0;0
2020/00063;2020/00063;24/07/2019;31/03/2023;Semikron Danfoss Ltda;33.020.355/0001-00;3;5;Contrato de Suporte Plano Kit Básico;1;10;10/10/2024;Vencimento sempre dia 25 de cada mes enviado email solicitando adendo assinado 02/07 **Alterei data de vigencia de 23/07/2021 a 31/12/20219 - Omie não faturava Mari * em 19/01/22 confirmado com Tamires - cobrar reajuste sem adendo;452,99;1;1;1;1;0;0
2022/00006;2022/00006;25/10/2022;25/10/2026;Semikron Danfoss Ltda;33.020.355/0001-00;2;5;Serviços Contrato SAAS quantidade de usuários: 01 usuário;1;10;10/10/2024;Contrato SAAS quantidade de usuários: 01 usuário;850;1;1;1;1;0;0
2020/00070;2020/00070;01/10/2014;30/09/2021;SHOPPING METRO BOULEVARD TATUAPÉ;10.254.617/0001-97;2;5;Contrato  de Manutenção Plano Básico (12meses);1;10;10/10/2024;Valor reajustado em 11/2020. Reajustar em 2021. Enviado adendo correio em 01/2021 não retornou. Fazer aditivo de prorrogação do contrato. Cancelamento contrato 17/03 e-mail - valido ate 15/04/2021;400,58;1;1;1;1;0;0
2020/00069;2020/00069;01/01/2019;30/10/2021;SHOPPING METRO TATUAPÉ;02.248.827/0001-44;2;5;Contrato  de Manutenção Plano Básico;1;10;10/10/2024;Valor reajustado. Reajustar 2021. Fazer aditivo de prorrogação do contrato;363,86;1;1;1;1;0;0
2021/00002;2021/00002;19/01/2021;19/01/2024;Sinergia Paulistana Construcoes e Montagens LTDA;08.390.028/0001-94;2;5;Serviços prestados;1;10;10/10/2024;Reajuste anual indice IGPM *em 19/01/22 conf vencidos, Tamires passou novo valor, será cobrado antes de assinar adendo o valor. (skype);1659;1;1;1;1;0;0
2021/00034;2021/00034;23/06/2021;23/06/2025;SONACA BRASIL LTDA;04.059.223/0003-47;2;5;CONTRATO SIGMA - AMBIENTE DESKTOP VERSÃO ENTERPRISE  5 Horas/mês - 60 horas/ano PEDIDO DE COMPRA PO 9450041976;1;10;10/10/2024;Não faturado mes 07/2021- 082021 VAMOS COBRAR A PARTE não recebi ticket faturamento;1183,67;1;1;1;1;0;0
2020/00047;2020/00047;04/07/2019;03/07/2021;SSD COMERCIO E ASSISTENCIA TECNICA EM EQUIPAMENTOS;02.667.452/0001-57;2;5;Sigma Cloud (SaaS);1;10;10/10/2024;Reajuste anual indice IPCA 07/2021 reajustar 24meses (07/2019-07/2021);153,6;1;1;1;1;0;0
2021/00010;2021/00010;19/03/2021;18/03/2022;STRUTURAL SISTEMAS - EIRELI;30.342.566/0001-62;2;5;Serviços prestados referente mensalidade Saas - 1 usuário Deposito Banco ITAU Ag 6383 conta 14169-1;1;10;10/10/2024;Reajuste anual indice IPCA;198;1;1;1;1;0;0
2020/00057;2020/00057;13/02/2020;11/03/2021;SUINOBRAS ALIMENTOS LTDA;10.834.577/0003-14;2;5;Contrato de Manutenção Plano Básico ( 12 meses);1;10;10/10/2024;Enviado adendo no dia 05/03/2021 com valor reajustado. Aguardar assinatura para atualização ( valor, validade);715;1;1;1;1;0;0
